Title,Start,End,Description,Web Page,Media,Media Caption,Media Credit,Tags,Place,Location,Source,Source URL
Battle of Vittorio Veneto,1918-11-03,,"The Battle of Vittorio Veneto was fought between 24 October and 3 November 1918, near Vittorio Veneto, during the Italian Campaign of World War I. The Italian victory marked the end of the war on the Italian Front, secured the dissolution of the Austro-Hungarian Empire and was chiefly instrumental in ending the First World War less than two weeks later. Some Italians see Vittorio Veneto as the final culmination of the Risorgimento nationalist movement, in which Italy was unified.",,,,,,,"45.9558,12.3469",,
Battle of Asiago,1916-06-10,,"The Battle of Asiago (Battle of the Plateaux) or the Trentino Offensive, nicknamed Strafexpedition by the Austrians, was a counteroffensive launched by the Austro-Hungarians on the Italian Front on May 15, 1916, during World War I. It was an unexpected attack that took place near Asiago in the province of Vicenza (now in northeast Italy, then on the Italian side of the border between the Kingdom of Italy and Austria-Hungary) after the Fifth Battle of the Isonzo (March 1916).",,,,,,,"45.9019,11.5089",,
Battle of Kolubara,1914-12-15,,"The Battle of Kolubara (3–9 December 1914) was a major victory for Serbia over the Austro-Hungarian armies during World War I. The Austro-Hungarian armies were routed, and driven back across the Serbian border.",,,,,,,"44.1237,20.1759",,
Tenth Battle of the Isonzo,1917-06-08,,The Tenth Battle of the Isonzo was an Italian offensive against Austria-Hungary in the course of World War I.,,,,,,,"46.0,13.6333",,
First Battle of the Isonzo,1915-07-07,,"The First Battle of the Isonzo was fought between the Armies of Italy and Austria-Hungary on the Italian Front in World War I, between June 23 and July 7, 1915. The aim of the Italian Army was to drive the Austrians away from its defensive positions along the Soča (Isonzo) and on the nearby mountains.",,,,,,,"45.9425,13.6025",,
Battle of San Matteo,1918-09-03,,"The Battle of San Matteo took place in the late summer of 1918 on the Punta San Matteo (3678 m) during World War I. It was regarded as the highest battle in history until it was surpassed in 1999 by the Kargil Conflict at 5600m. At the beginning of 1918 Austro-Hungarian troops set up a fortified position with small artillery pieces on the top of the San Matteo Peak, from which they were able to shell the road to the Gavia Pass and thus harass the Italian supply convoys to the front line.",,,,,,,"46.3789,10.5667",,
Fourth Battle of the Isonzo,1915-12-02,,"The Fourth Battle of the Isonzo was fought between the armies of Kingdom of Italy and those of Austria-Hungary on the Italian Front in World War I, between November 10 and December 2, 1915.",,,,,,,"45.9692,13.6111",,
Ninth Battle of the Isonzo,1916-11-04,,"The Ninth Battle of the Isonzo was an Italian offensive against Austria-Hungary in the course World War I. Including a triumvirate of battles launched after the Italians' successful seizure of Gorizia in August 1916 to extend their bridgehead to the left of the town, it ended in further failure for the Italian Chief of Staff Luigi Cadorna. The battle started with an attack on Vrtojba and the northern and central areas of the Karst Plateau.",,,,,,,"45.9097,13.6381",,
Second Battle of the Isonzo,1915-08-03,,"The Second Battle of the Isonzo was fought between the armies of the Kingdom of Italy and of Austria-Hungary in the Italian Front in World War I, between 18 July and 3 August 1915.",,,,,,,"45.8633,13.5281",,
Third Battle of the Isonzo,1915-10-18,,The Third Battle of the Isonzo was fought from October 18 through November 3 of 1915 between the armies of Italy and Austria-Hungary.,,,,,,,"45.8567,13.4003",,
Battle of Doberdò,1916-08-06,,"The Battle of Doberdò was one of the bloodiest battlefields of World War I, fought in August 1916 between the Italian and Austro-Hungarian Army, composed mostly of Hungarian and Slovenian regiments. The battle, which was part of the Sixth Battle of the Isonzo, took place on a strategic area the westernmost edge of the Kras plateau.",,,,,,,"45.8347,13.5492",,
Battle of Passchendaele,1917-11-06,,"The Battle of Passchendaele, (or Third Battle of Ypres or ""Passchendaele"") was a campaign of the First World War 1914–1918, fought by the British and their allies against the German empire. The battle took place on the Western Front, between June and November 1917, for control of the ridges south and east of the Belgian city of Ypres in West Flanders, as part of a strategy decided by the Allies at conferences in November 1916 and May 1917.",,,,,,,"50.9003,3.02111",,
Battle of Passchendaele,1917-11-06,,"The Battle of Passchendaele, (or Third Battle of Ypres or ""Passchendaele"") was a campaign of the First World War 1914–1918, fought by the British and their allies against the German empire. The battle took place on the Western Front, between June and November 1917, for control of the ridges south and east of the Belgian city of Ypres in West Flanders, as part of a strategy decided by the Allies at conferences in November 1916 and May 1917.",,,,,,,"50.9003,3.02111",,
Second Battle of Krithia,1915-05-08,,The Second Battle of Krithia continued the Allies' attempts to advance on the Helles battlefield during the Battle of Gallipoli of the First World War. The village of Krithia and neighbouring hill of Achi Baba had to be captured in order for the British to advance up the Gallipoli peninsula to the forts that controlled passage of the Dardanelles straits. A small amount of ground was captured after two days of costly fighting but the objectives remained out of reach.,,,,,,,"40.0789,26.2039",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
First Battle of Ypres,1914-11-22,,"The First Battle of Ypres, also called the First Battle of Flanders (French: 1re Bataille des Flandres), was a First World War battle fought for the strategic town of Ypres in western Belgium in October and November 1914. The German and Western Allied attempts to secure the town from enemy occupation included a series of further battles in and around the West Flanders Belgian municipality. The strategy of both the Allied and German armies is not entirely clear.",,,,,,,"50.8641,2.8956",,
